Video,Channel,Feature,Value,Label
0,Fp1,Spectral entropy,0.6777661,0
0,Fp1,Spectral centroid,14.976173,0
0,Fp1,Spectral spread,18.939367,0
0,Fp1,Median frequency,9.182735,0
0,Fp1,Power bandwidth,20.265347,0
0,Fp1,Max power spectrum,0.97727823,0
0,Fp1,Average power,1.6518891e-08,0
0,AF3,Spectral entropy,0.72054595,0
0,AF3,Spectral centroid,14.713846,0
0,AF3,Spectral spread,15.334877,0
0,AF3,Median frequency,11.015949,0
0,AF3,Power bandwidth,21.698587,0
0,AF3,Max power spectrum,0.880331,0
0,AF3,Average power,9.5774295e-09,0
0,F7,Spectral entropy,0.7106809,0
0,F7,Spectral centroid,12.954056,0
0,F7,Spectral spread,11.8274975,0
0,F7,Median frequency,9.549378,0
0,F7,Power bandwidth,19.032095,0
0,F7,Max power spectrum,1.5202671,0
0,F7,Average power,1.1916514e-08,0
0,F3,Spectral entropy,0.7372672,0
0,F3,Spectral centroid,14.046349,0
0,F3,Spectral spread,11.650456,0
0,F3,Median frequency,11.565914,0
0,F3,Power bandwidth,21.79858,0
0,F3,Max power spectrum,1.1167892,0
0,F3,Average power,8.22426e-09,0
0,FC1,Spectral entropy,0.75649655,0
0,FC1,Spectral centroid,14.159912,0
0,FC1,Spectral spread,11.32603,0
0,FC1,Median frequency,11.649241,0
0,FC1,Power bandwidth,23.031834,0
0,FC1,Max power spectrum,0.62208664,0
0,FC1,Average power,4.605154e-09,0
0,FC5,Spectral entropy,0.73677856,0
0,FC5,Spectral centroid,14.601241,0
0,FC5,Spectral spread,12.545401,0
0,FC5,Median frequency,10.915956,0
0,FC5,Power bandwidth,23.981771,0
0,FC5,Max power spectrum,1.0133266,0
0,FC5,Average power,6.310706e-09,0
0,T7,Spectral entropy,0.7545294,0
0,T7,Spectral centroid,16.332361,0
0,T7,Spectral spread,14.304988,0
0,T7,Median frequency,12.232537,0
0,T7,Power bandwidth,31.83126,0
0,T7,Max power spectrum,0.9148979,0
0,T7,Average power,1.1416831e-08,0
0,C3,Spectral entropy,0.74274814,0
0,C3,Spectral centroid,14.631504,0
0,C3,Spectral spread,12.558636,0
0,C3,Median frequency,11.299264,0
0,C3,Power bandwidth,24.798386,0
0,C3,Max power spectrum,1.1256573,0
0,C3,Average power,4.223269e-09,0
0,CP1,Spectral entropy,0.73420936,0
0,CP1,Spectral centroid,14.523504,0
0,CP1,Spectral spread,14.193075,0
0,CP1,Median frequency,11.049281,0
0,CP1,Power bandwidth,23.715122,0
0,CP1,Max power spectrum,0.64857996,0
0,CP1,Average power,4.061814e-09,0
0,CP5,Spectral entropy,0.7505641,0
0,CP5,Spectral centroid,14.822477,0
0,CP5,Spectral spread,13.148182,0
0,CP5,Median frequency,11.332596,0
0,CP5,Power bandwidth,24.231756,0
0,CP5,Max power spectrum,0.75266874,0
0,CP5,Average power,6.022338e-09,0
