Video,Channel,Feature,Value,Label
8,FC6,Spectral spread,14.1960535,1
29,O1,Spectral spread,13.121957,1
2,Fp2,Spectral spread,15.8932085,0
32,P7,Spectral entropy,0.6600966,0
31,P4,Power bandwidth,21.781916,0
39,PO4,Average power,1.01546975e-08,1
30,F3,Power bandwidth,22.015234,0
27,F8,Average power,2.2677582e-08,0
34,CP5,Max power spectrum,1.0811526,1
21,PO4,Spectral spread,13.048374,0
26,C3,Spectral centroid,13.732274,1
30,Fp2,Power bandwidth,23.148493,0
30,C3,Median frequency,10.965953,0
31,Oz,Max power spectrum,0.88730955,0
18,Oz,Median frequency,14.499056,1
27,F3,Spectral entropy,0.68374974,0
16,O1,Average power,1.9186562e-08,1
39,Cz,Spectral entropy,0.7374935,1
1,T7,Spectral centroid,13.641872,1
25,Fz,Average power,6.585108e-09,1
1,F7,Spectral centroid,10.292352,1
7,T8,Spectral centroid,12.61814,1
0,P3,Median frequency,7.73283,0
18,CP6,Spectral spread,15.8877325,1
16,Cz,Spectral spread,12.625634,1
32,Oz,Max power spectrum,1.5283144,0
38,Cz,Average power,3.5603016e-09,0
12,FC6,Average power,4.0883235e-09,0
29,Fp2,Spectral entropy,0.661168,1
29,P3,Spectral centroid,14.018983,1
3,Fp2,Power bandwidth,4.949678,1
24,Pz,Average power,6.6281607e-09,0
13,Pz,Max power spectrum,1.6040822,0
13,P4,Average power,1.1307752e-08,0
2,Oz,Spectral centroid,13.724087,0
10,FC2,Max power spectrum,1.2785883,1
1,P8,Median frequency,8.099473,1
16,CP1,Average power,6.4183485e-09,1
31,F3,Spectral spread,12.661699,0
15,CP5,Max power spectrum,1.837608,0
31,Fz,Max power spectrum,0.62531996,0
21,PO4,Max power spectrum,2.2269926,0
23,Cz,Spectral spread,13.6446905,1
14,T8,Spectral spread,15.272465,0
37,FC5,Average power,7.587473e-09,0
29,FC6,Max power spectrum,1.1935154,1
14,C4,Spectral entropy,0.7253039,0
13,Cz,Spectral spread,15.234983,0
7,C3,Spectral entropy,0.70630944,1
9,Oz,Average power,1.24586155e-08,0
20,P7,Spectral entropy,0.6922221,0
28,Oz,Median frequency,10.665973,1
8,Fz,Spectral entropy,0.69683856,1
23,Oz,Spectral spread,14.687375,1
4,P8,Max power spectrum,3.4337857,0
19,FC6,Power bandwidth,27.331554,1
18,CP5,Average power,4.073047e-08,1
29,PO4,Max power spectrum,1.2639637,1
15,O1,Spectral spread,13.791525,0
8,AF4,Power bandwidth,13.232471,1
27,O1,Spectral centroid,15.944398,0
37,P3,Spectral centroid,12.916584,0
1,F3,Median frequency,8.116138,1
20,P3,Power bandwidth,20.848642,0
33,FC1,Average power,4.980394e-09,1
