Video,Channel,Feature,Value,Label
8,FC6,Spectral spread,13.436627,0
29,O1,Spectral spread,14.036011,0
2,Fp2,Spectral spread,16.07096,1
32,P7,Spectral entropy,0.74431545,1
31,P4,Power bandwidth,34.464424,0
39,PO4,Average power,5.6439626e-09,0
30,F3,Power bandwidth,39.664085,0
27,F8,Average power,1.4887121e-08,0
34,CP5,Max power spectrum,0.4124029,0
21,PO4,Spectral spread,13.57667,1
26,C3,Spectral centroid,21.474916,1
30,Fp2,Power bandwidth,40.714016,0
30,C3,Median frequency,17.198881,0
31,Oz,Max power spectrum,0.96459734,0
18,Oz,Median frequency,19.482065,1
27,F3,Spectral entropy,0.82187885,0
16,O1,Average power,9.469872e-09,1
39,Cz,Spectral entropy,0.7286398,0
1,T7,Spectral centroid,26.302114,0
25,Fz,Average power,5.70835e-09,0
1,F7,Spectral centroid,27.581356,0
7,T8,Spectral centroid,23.794413,0
0,P3,Median frequency,19.565393,0
18,CP6,Spectral spread,17.098429,1
16,Cz,Spectral spread,15.684244,1
32,Oz,Max power spectrum,0.49946725,1
38,Cz,Average power,3.5109764e-09,0
12,FC6,Average power,2.2900533e-09,0
29,Fp2,Spectral entropy,0.8189518,0
29,P3,Spectral centroid,16.875694,0
3,Fp2,Power bandwidth,41.14732,0
24,Pz,Average power,4.018958e-09,0
13,Pz,Max power spectrum,0.8753582,0
13,P4,Average power,3.0410243e-09,0
2,Oz,Spectral centroid,20.5039,1
10,FC2,Max power spectrum,0.60848165,1
1,P8,Median frequency,16.832237,0
16,CP1,Average power,2.6084326e-09,1
31,F3,Spectral spread,13.346199,0
15,CP5,Max power spectrum,0.3176106,1
31,Fz,Max power spectrum,0.76607925,0
21,PO4,Max power spectrum,0.8111737,1
23,Cz,Spectral spread,15.177097,0
14,T8,Spectral spread,15.48396,0
37,FC5,Average power,2.1494566e-08,1
29,FC6,Max power spectrum,0.29794255,0
14,C4,Spectral entropy,0.7686297,0
13,Cz,Spectral spread,14.74154,0
7,C3,Spectral entropy,0.82737464,0
9,Oz,Average power,7.0799815e-09,0
20,P7,Spectral entropy,0.7442558,0
28,Oz,Median frequency,17.04889,0
8,Fz,Spectral entropy,0.76439553,0
23,Oz,Spectral spread,14.812527,0
4,P8,Max power spectrum,0.9176852,0
19,FC6,Power bandwidth,40.780678,0
18,CP5,Average power,2.7833897e-09,1
29,PO4,Max power spectrum,0.76900065,0
15,O1,Spectral spread,14.189357,1
8,AF4,Power bandwidth,41.4973,0
27,O1,Spectral centroid,22.198185,0
37,P3,Spectral centroid,18.840292,1
1,F3,Median frequency,26.03164,0
20,P3,Power bandwidth,33.864464,0
33,FC1,Average power,4.077432e-09,0
5,Cz,Spectral spread,13.227764,0
7,C4,Average power,6.6485764e-09,0
24,CP2,Power bandwidth,29.764729,0
20,Fp1,Spectral entropy,0.82158256,0
9,O2,Median frequency,15.132348,0
37,AF3,Spectral spread,12.94347,1
5,Fz,Spectral entropy,0.7588388,0
16,PO4,Max power spectrum,1.1599045,1
7,AF3,Spectral entropy,0.8115758,0
17,AF3,Spectral entropy,0.8129869,0
16,O1,Spectral spread,14.365328,1
0,Cz,Max power spectrum,0.76351184,0
6,CP1,Spectral spread,14.0003195,0
2,P7,Spectral entropy,0.76570696,1
5,T8,Average power,1.689501e-08,0
39,C3,Spectral entropy,0.80714095,0
22,F3,Median frequency,24.615065,0
36,FC5,Spectral centroid,26.977804,0
20,F8,Median frequency,16.532257,0
20,F4,Spectral centroid,19.945885,0
0,PO3,Spectral spread,14.301491,0
38,AF3,Average power,1.4682286e-08,0
17,F8,Average power,3.454441e-09,0
3,FC1,Spectral entropy,0.8148697,0
21,CP5,Max power spectrum,0.20923594,1
14,F7,Spectral entropy,0.8242357,0
32,CP5,Spectral centroid,19.628874,1
21,P3,Max power spectrum,0.2705139,1
4,F4,Average power,7.639519e-09,0
37,AF3,Median frequency,24.265087,1
29,O2,Max power spectrum,1.4672645,0
9,Fp2,Power bandwidth,40.66402,0
24,P4,Average power,3.1730303e-09,0
38,FC2,Median frequency,11.865894,0
26,CP2,Median frequency,10.59931,1
7,T8,Median frequency,24.615065,0
29,FC2,Max power spectrum,0.90549636,0
2,P8,Spectral centroid,18.015276,1
0,Fz,Spectral spread,14.745831,0
22,O2,Power bandwidth,39.9474,0
2,FC2,Spectral entropy,0.7754546,1
36,P7,Spectral centroid,17.519321,0
15,O2,Spectral centroid,20.368946,1
17,Pz,Spectral entropy,0.7075595,0
38,PO3,Spectral spread,14.138471,0
24,Fz,Power bandwidth,34.697742,0
0,PO3,Power bandwidth,37.747543,0
17,P8,Spectral entropy,0.7621527,0
28,FC5,Max power spectrum,0.25456375,0
26,CP6,Median frequency,13.365796,1
6,Oz,Median frequency,19.032095,0
7,FC6,Median frequency,24.581734,0
30,P7,Spectral spread,14.304962,0
10,CP5,Spectral centroid,24.623362,1
33,F8,Spectral entropy,0.8065252,0
33,T7,Spectral spread,14.297241,0
12,Pz,Max power spectrum,1.0729759,0
18,C3,Median frequency,20.33201,1
39,F8,Spectral spread,15.997654,0
36,AF4,Max power spectrum,0.30359647,0
37,CP2,Spectral centroid,16.772877,1
10,CP5,Spectral entropy,0.8341243,1
2,CP5,Spectral entropy,0.825736,1
4,PO4,Median frequency,12.615846,0
7,CP2,Max power spectrum,1.286758,0
14,PO3,Power bandwidth,35.11438,0
13,P8,Spectral entropy,0.75529706,0
9,Cz,Spectral entropy,0.747077,0
23,F3,Spectral entropy,0.81892115,0
20,Fz,Power bandwidth,29.431417,0
20,P4,Spectral entropy,0.73727703,0
14,C4,Max power spectrum,1.1702976,0
39,FC1,Average power,4.156268e-09,0
1,Cz,Average power,4.111975e-09,0
19,PO4,Power bandwidth,31.314629,0
36,PO4,Spectral entropy,0.7616183,0
20,P3,Max power spectrum,1.1941983,0
24,FC2,Median frequency,12.665842,0
5,P7,Max power spectrum,1.2829921,0
22,O1,Spectral centroid,22.736378,0
25,CP6,Median frequency,13.265803,0
12,Fp2,Average power,1.0432972e-08,0
29,P8,Spectral spread,15.753193,0
38,T8,Median frequency,18.59879,0
4,C4,Max power spectrum,0.5817954,0
6,Fp2,Median frequency,23.431808,0
28,P7,Average power,1.0989694e-08,0
4,O1,Spectral entropy,0.819771,0
28,P7,Max power spectrum,0.66336375,0
5,Fp1,Median frequency,24.78172,0
15,FC5,Spectral centroid,25.940006,1
0,FC6,Spectral centroid,24.433681,0
15,Fz,Spectral entropy,0.73494005,1
3,T7,Power bandwidth,41.06399,0
28,T8,Max power spectrum,0.37425146,0
19,PO3,Average power,4.4731854e-09,0
30,CP1,Spectral spread,14.685206,0
12,P3,Spectral centroid,18.023294,0
19,CP5,Median frequency,13.449124,0
34,Fp1,Spectral entropy,0.81599337,0
17,O1,Median frequency,20.78198,0
28,C4,Spectral centroid,20.841145,0
26,F4,Median frequency,22.315214,1
18,F4,Average power,3.427705e-09,1
26,F4,Max power spectrum,0.40673682,1
36,C3,Max power spectrum,0.23297682,0
23,P4,Power bandwidth,33.53115,0
16,F7,Median frequency,25.381681,1
33,F7,Spectral entropy,0.81367785,0
5,CP6,Median frequency,24.015102,0
31,CP1,Median frequency,12.249203,0
15,C4,Spectral entropy,0.77388924,1
29,FC1,Spectral spread,14.5950365,0
11,C3,Spectral spread,13.937403,0
4,Oz,Spectral centroid,20.373499,0
7,F3,Power bandwidth,39.380768,0
39,F4,Spectral entropy,0.8130676,0
9,CP6,Spectral centroid,23.450844,0
32,PO4,Average power,5.94366e-09,1
5,F8,Average power,1.3398955e-08,0
24,F3,Average power,1.8662863e-08,0
28,CP1,Average power,3.1479144e-09,0
37,F4,Average power,7.906111e-09,1
28,PO4,Median frequency,11.949222,0
22,Fp1,Average power,2.949799e-08,0
38,P3,Average power,2.8648197e-09,0
15,C3,Spectral centroid,24.28333,1
15,Oz,Power bandwidth,39.530758,1
13,FC2,Power bandwidth,33.747803,0
31,O2,Spectral spread,15.153203,0
10,O2,Spectral spread,14.234002,1
14,P8,Spectral entropy,0.7625845,0
22,O2,Spectral centroid,20.51316,0
29,CP2,Max power spectrum,1.6674451,0
7,T7,Power bandwidth,40.797344,0
16,P8,Median frequency,13.432459,1
17,T8,Spectral spread,13.706032,0
5,Fp1,Average power,2.5502162e-08,0
37,F4,Spectral entropy,0.8261986,1
16,FC5,Average power,1.1634338e-08,1
17,P7,Average power,6.477111e-09,0
15,C3,Power bandwidth,41.663956,1
21,CP2,Spectral centroid,14.893972,1
37,Fz,Max power spectrum,0.70789367,1
7,C3,Average power,1.1854274e-08,0
5,FC1,Max power spectrum,0.9776638,0
5,F3,Power bandwidth,39.56409,0
19,P3,Spectral spread,14.654646,0
34,FC2,Spectral entropy,0.7456163,0
0,Oz,Spectral spread,14.865024,0
36,CP6,Spectral spread,13.9372835,0
37,O1,Max power spectrum,0.5410571,1
12,P4,Power bandwidth,28.831457,0
35,FC6,Spectral centroid,24.209318,1
39,CP6,Median frequency,12.89916,0
25,CP5,Spectral centroid,19.43998,0
25,C4,Spectral spread,15.190895,0
15,CP6,Spectral centroid,22.011446,1
36,FC6,Spectral entropy,0.81136674,0
11,F7,Spectral entropy,0.81001806,0
32,AF4,Median frequency,24.431744,1
2,CP6,Power bandwidth,40.230713,1
16,AF4,Power bandwidth,40.36404,1
5,P3,Spectral entropy,0.78132164,0
